特征类型,分类器,均值准确率,标准差,特征维度
拓扑特征,SVM,0.3550,0.0534,25
拓扑特征,RF,0.4750,0.0354,25
几何特征,SVM,0.4800,0.0367,67
几何特征,RF,0.5200,0.0485,67
融合特征,SVM,0.5000,0.0474,92
融合特征,RF,0.6600,0.1007,92
几何特征(PCA25),SVM,0.3600,0.0752,25
几何特征(PCA25),RF,0.4950,0.0100,25
